window_days,Model,RMSLE,R2,MAE,RMSE
30,XGBoost (tuned+mono),0.6940434553695507,0.7887294325392378,3432611.8592364197,7019202.393862404
30,Random Forest,0.709832475722054,0.779007567562177,3532233.740023325,7066390.413474208
30,SVR (clipped),0.9491017785797756,0.604914358331077,4487727.370016158,9109522.320826408
30,Ridge (clipped),0.9761424824419506,0.582081015277366,5222186.660510833,13509166.311568247
